gateway listening on port 3000
gateway request | id=a628544a-482a-4b90-9b59-2c1812397fb1 | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=HIT | source=redis
gateway request | id=afeed950-3578-4568-9cee-7e06846f0fc0 | GET /api/catalog | status=200 | durationMs=13 | upstream=catalog | cache=HIT | source=redis
gateway request | id=42185fe7-b2b7-45b1-9502-c734d479d879 | GET /api/catalog | status=200 | durationMs=15 | upstream=catalog | cache=HIT | source=redis
gateway request | id=3e245842-1c3a-4192-8de7-c04cd2c9b29a | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=HIT | source=redis
gateway request | id=c29f1ff3-ce79-41fa-bf41-1ae440353f10 | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=HIT | source=redis
gateway request | id=485d2eb5-1b90-4abd-9124-2099eb2f41e4 | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=HIT | source=redis
gateway request | id=40bf3447-a994-462a-903a-43300fc4528c | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=HIT | source=redis
gateway request | id=3e363fe0-2faa-43d6-a417-a4d5f37ad701 | GET /api/catalog | status=200 | durationMs=10 | upstream=catalog | cache=HIT | source=redis
gateway request | id=cfe2853e-0a93-4d06-ac4d-6086b1c49f74 | GET /api/catalog | status=200 | durationMs=13 | upstream=catalog | cache=HIT | source=redis
gateway request | id=40ba3556-3f12-4f23-b628-625d2b1d974c | GET /api/catalog | status=200 | durationMs=17 | upstream=catalog | cache=HIT | source=redis
gateway request | id=e0af7d31-36c6-47c4-be4e-9819f61f25ff | GET /api/catalog | status=200 | durationMs=9 | upstream=catalog | cache=HIT | source=redis
gateway request | id=49e13f43-5b07-4eab-9c1b-adb1982a0d9e | GET /api/catalog | status=200 | durationMs=9 | upstream=catalog | cache=HIT | source=redis
gateway request | id=d336ef4b-3fe1-4f01-9535-14dbc319f0b1 | GET /api/catalog | status=200 | durationMs=9 | upstream=catalog | cache=HIT | source=redis
gateway request | id=a69bdb05-243b-43e6-9632-3ccc7df42f01 | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=HIT | source=redis
gateway request | id=b52fdb43-cbfe-4bfa-b220-0ebcf4e5cf59 | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=HIT | source=redis
gateway request | id=111904a4-7724-4a07-836e-49521d7b34e6 | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=HIT | source=redis
gateway request | id=a865ac98-e5a4-4b30-9351-0cc853e657a1 | GET /api/catalog | status=200 | durationMs=9 | upstream=catalog | cache=HIT | source=redis
gateway request | id=83889e35-0595-4097-8c84-82c686bc82fa | GET /api/catalog | status=200 | durationMs=9 | upstream=catalog | cache=HIT | source=redis
gateway request | id=2b1fd7f8-362b-4a83-91bf-62f1410e8ee2 | GET /api/catalog | status=200 | durationMs=9 | upstream=catalog | cache=HIT | source=redis
gateway request | id=02ab4d63-203d-476b-a62b-a26847b27880 | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=HIT | source=redis
gateway request | id=044a42c2-03a2-4287-91f1-b5549c9992cc | GET /api/catalog | status=200 | durationMs=10 | upstream=catalog | cache=HIT | source=redis
gateway request | id=57ffc09e-593e-4569-9da7-b837364962bd | GET /api/catalog | status=200 | durationMs=11 | upstream=catalog | cache=HIT | source=redis
gateway request | id=330df134-e93f-4ee7-a466-aaf3a46487a3 | GET /api/catalog | status=200 | durationMs=9 | upstream=catalog | cache=HIT | source=redis
gateway request | id=939ce332-da9e-4109-b621-70902cc59069 | GET /api/catalog | status=200 | durationMs=15 | upstream=catalog | cache=HIT | source=redis
gateway request | id=d0c880ee-a962-4d34-b218-483e289cf8fe | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=HIT | source=redis
gateway request | id=92fecc1b-f57b-4212-a384-fc2bd7e995c1 | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=HIT | source=redis
gateway request | id=3534a0be-1eda-4a75-822c-575c3e40e245 | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=HIT | source=redis
gateway request | id=bc3ddc61-4a34-4117-bae1-7318e23e37ae | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=HIT | source=redis
gateway request | id=b618b068-c52d-476e-a280-3ed9f03a6d31 | GET /api/catalog | status=200 | durationMs=9 | upstream=catalog | cache=HIT | source=redis
gateway request | id=b6cbc159-f6a2-40d0-ab43-41e0a9dd853d | GET /api/catalog | status=200 | durationMs=10 | upstream=catalog | cache=HIT | source=redis
gateway request | id=33e6b567-4585-401f-bbd8-f9c93f0df1d2 | GET /api/catalog | status=200 | durationMs=13 | upstream=catalog | cache=HIT | source=redis
gateway request | id=a5649037-1490-45f7-b25e-1922403da1ba | GET /api/catalog | status=200 | durationMs=10 | upstream=catalog | cache=HIT | source=redis
gateway request | id=c625bd1e-2c1a-4ffa-9592-8b11e1354ec8 | GET /api/catalog | status=200 | durationMs=9 | upstream=catalog | cache=HIT | source=redis
gateway request | id=42cbae59-7a24-4811-85ba-291728390a1e | GET /api/catalog | status=200 | durationMs=10 | upstream=catalog | cache=HIT | source=redis
gateway request | id=b3b6f2f7-ff1f-4e31-8b90-d25f3a301892 | GET /api/catalog | status=200 | durationMs=12 | upstream=catalog | cache=HIT | source=redis
gateway request | id=4df0eb42-86f2-4ecc-823d-dcffa2d844a1 | GET /api/catalog | status=200 | durationMs=9 | upstream=catalog | cache=HIT | source=redis
gateway request | id=5aaa8874-df73-45c4-bb88-6f8179f7f6c6 | GET /api/catalog | status=200 | durationMs=12 | upstream=catalog | cache=HIT | source=redis
gateway request | id=d721f5c8-3f5d-4f92-a127-429b178919fb | GET /api/catalog | status=200 | durationMs=10 | upstream=catalog | cache=HIT | source=redis
gateway request | id=43edbb64-c751-4b95-802f-1f3ef92dbaa6 | GET /api/catalog | status=200 | durationMs=10 | upstream=catalog | cache=HIT | source=redis
gateway request | id=ccc91949-7781-42f1-8b6b-add4921c5ead | GET /api/catalog | status=200 | durationMs=9 | upstream=catalog | cache=HIT | source=redis
gateway request | id=2825beb2-09fd-4cb6-90a6-13c2457e5e2d | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=HIT | source=redis
gateway request | id=6ca7a3ca-3ab3-49d3-836a-546b4089c0d3 | GET /api/catalog | status=200 | durationMs=9 | upstream=catalog | cache=HIT | source=redis
gateway request | id=ada8dd32-2935-4047-931e-a00ee0272d60 | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=HIT | source=redis
gateway request | id=dab216f2-f1a1-4d34-bed6-21b12dcf764e | GET /api/catalog | status=200 | durationMs=9 | upstream=catalog | cache=HIT | source=redis
gateway request | id=50c2e412-990d-498b-9e23-fdc0d4c5b78f | GET /api/catalog | status=200 | durationMs=9 | upstream=catalog | cache=HIT | source=redis
gateway request | id=d304d5ad-7907-440a-9de1-8fb88eb1e6ce | GET /api/catalog | status=200 | durationMs=9 | upstream=catalog | cache=HIT | source=redis
gateway request | id=78fed4af-aceb-4dbe-8eb9-9e18b290d372 | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=HIT | source=redis
gateway request | id=01bc3cb2-1216-4c15-af91-c714559cc2e9 | GET /api/catalog | status=200 | durationMs=10 | upstream=catalog | cache=HIT | source=redis
gateway request | id=9902434e-ed4b-4d47-acdf-68a11e839600 | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=HIT | source=redis
gateway request | id=d5b3f604-6372-42d2-b119-b01c6d6c3d7a | GET /api/catalog | status=200 | durationMs=9 | upstream=catalog | cache=HIT | source=redis
gateway request | id=9874927f-6d9a-420d-96d5-e2a1e46c79eb | GET /api/catalog | status=200 | durationMs=9 | upstream=catalog | cache=HIT | source=redis
gateway request | id=76ec2bbb-b9b9-4f10-9638-079d0f3dc4fb | GET /api/catalog | status=200 | durationMs=17 | upstream=catalog | cache=HIT | source=redis
gateway request | id=8842014c-4255-402e-82b3-36973e3c54c2 | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=HIT | source=redis
gateway request | id=6df27b70-8a37-4947-b446-27decec4a308 | GET /api/catalog | status=200 | durationMs=13 | upstream=catalog | cache=HIT | source=redis
gateway request | id=d3f867ba-ec41-457b-b89c-7ca4e270d092 | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=HIT | source=redis
gateway request | id=a7c14c1d-d856-4515-85d6-2a9e1121b8df | GET /api/catalog | status=200 | durationMs=10 | upstream=catalog | cache=HIT | source=redis
gateway request | id=2b388f78-2b49-4dc1-a785-9be7531d4fe2 | GET /api/catalog | status=200 | durationMs=10 | upstream=catalog | cache=HIT | source=redis
gateway request | id=0a3ada76-b6bb-420b-a503-f836aa162acb | GET /api/catalog | status=200 | durationMs=18 | upstream=catalog | cache=HIT | source=redis
gateway request | id=48e80a8d-5d2e-4a90-81ac-fe04c942e8a6 | GET /api/catalog | status=200 | durationMs=10 | upstream=catalog | cache=HIT | source=redis
gateway request | id=080dec08-057d-47c9-afd1-0ad989381499 | GET /api/catalog | status=200 | durationMs=16 | upstream=catalog | cache=HIT | source=redis
gateway request | id=fc56da6b-d44a-417b-a07d-d2c7bb1183f0 | GET /api/catalog | status=200 | durationMs=34 | upstream=catalog | cache=HIT | source=redis
gateway request | id=785facb9-b285-490a-a11b-13b02d0308a1 | GET /api/catalog | status=200 | durationMs=56 | upstream=catalog | cache=HIT | source=redis
gateway request | id=3f04bb0d-805b-4a9e-9a70-59b716f883e1 | GET /api/catalog | status=200 | durationMs=92 | upstream=catalog | cache=HIT | source=redis
gateway request | id=c4ec0873-a2d5-4286-9b1c-6e5f62c226e4 | GET /api/catalog | status=200 | durationMs=74 | upstream=catalog | cache=HIT | source=redis
gateway request | id=b0aaebde-897b-462a-b735-b4082ba8c939 | GET /api/catalog | status=200 | durationMs=63 | upstream=catalog | cache=HIT | source=redis
gateway request | id=17de33d2-4cb9-4965-8ca8-d3157b8b8398 | GET /api/catalog | status=200 | durationMs=66 | upstream=catalog | cache=HIT | source=redis
gateway request | id=9baf8fc8-3336-4a98-a6d4-79ff70be7695 | GET /api/catalog | status=200 | durationMs=54 | upstream=catalog | cache=HIT | source=redis
gateway request | id=81859875-5adf-491b-b96e-023d0d9b0e71 | GET /api/catalog | status=200 | durationMs=37 | upstream=catalog | cache=HIT | source=redis
gateway request | id=c059d15d-dca5-474a-8ea2-290fddc5f6b9 | GET /api/catalog | status=200 | durationMs=39 | upstream=catalog | cache=HIT | source=redis
gateway request | id=166c4e61-b4e0-40b9-a5d9-dd65fd123f50 | GET /api/catalog | status=200 | durationMs=50 | upstream=catalog | cache=HIT | source=redis
gateway request | id=8f83e148-5144-4aaf-a44c-ed39ff9c0dc3 | GET /api/catalog | status=200 | durationMs=85 | upstream=catalog | cache=HIT | source=redis
