users listening on port 3002
users request | id=077a8fff-6577-4e46-841b-2556206e15c3 | GET /users/1 | status=200 | durationMs=0
users request | id=54f5577d-4356-40e9-9baa-50b550851139 | GET /users/1 | status=200 | durationMs=0
users request | id=70fc09da-8f05-4b5d-ae0f-a740ccdfb096 | GET /users/1 | status=200 | durationMs=0
users request | id=7d280f49-bffe-47a0-83f8-d0f7d86576ad | GET /users/1 | status=200 | durationMs=1
users request | id=be43eb01-8042-4ca6-8729-4d7c0e9aa637 | GET /users/1 | status=200 | durationMs=0
users request | id=a25539e2-d247-45fb-83ef-54e99c515fd8 | GET /users/1 | status=200 | durationMs=1
users request | id=b96ef654-847f-4e86-b566-212c38eccf98 | GET /users/1 | status=200 | durationMs=0
users request | id=4ec87209-5f5e-4688-a0f6-38a9d9f51bc7 | GET /users/1 | status=200 | durationMs=0
users request | id=095fbc3c-210f-4a67-a232-cf86a829dc63 | GET /users/1 | status=200 | durationMs=0
users request | id=dc3e794f-eb74-4732-9190-11d4d3986572 | GET /users/1 | status=200 | durationMs=0
users request | id=4d2a26ef-7ddd-4faa-954e-34fc4b897138 | GET /users/1 | status=200 | durationMs=0
users request | id=0be85d3b-dfd4-44cf-9f8e-09fc1de370df | GET /users/1 | status=200 | durationMs=0
users request | id=e7cee18a-f790-44ca-8c78-06b59f7b11db | GET /users/1 | status=200 | durationMs=0
users request | id=8840e7ff-6780-4226-b549-d82ea6e99f8d | GET /users/1 | status=200 | durationMs=0
users request | id=ae3bca25-636f-441b-85ac-c34cd54fbba2 | GET /users/1 | status=200 | durationMs=1
users request | id=bd0bc96e-f340-41f9-b009-b7e624d98013 | GET /users/1 | status=200 | durationMs=0
users request | id=1896646b-4579-4c64-9f6d-e870eb750f60 | GET /users/1 | status=200 | durationMs=0
users request | id=6c67b408-a44b-4592-9438-884f4a35551b | GET /users/1 | status=200 | durationMs=0
users request | id=5e78c9ed-362b-429e-a021-71a596b6de5f | GET /users/1 | status=200 | durationMs=0
users request | id=0483f0f2-87c2-4674-a025-1b94dda17436 | GET /users/1 | status=200 | durationMs=1
users request | id=16888f41-9715-430e-837b-44752206e85c | GET /users/1 | status=200 | durationMs=1
users request | id=906f20f9-ea8c-46fd-8e0b-40d6ed026ae4 | GET /users/1 | status=200 | durationMs=0
users request | id=30bbd8ce-8611-42ba-ad2d-73eb8f62d9ff | GET /users/1 | status=200 | durationMs=0
