catalog cache disabled
catalog listening on port 3001
catalog request | id=3bf3bde1-9776-470a-9de2-c5c1ffff1563 | GET /catalog | status=200 | durationMs=3 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=cba327cc-10be-4e57-bc5e-d3d5ebd3bdb7 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=a6a24a07-e200-4742-ac0f-06ad02260f53 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=c7d8f4b3-14c6-4fc9-b112-1fd65325fd52 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=07d5d0c7-714e-43b2-beaa-0b049d320a0d | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=2709b2c6-3125-4f71-90f9-892c1d4c398b | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=ef167eb9-4962-468c-8637-e193a6cab68e | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=cab0d9a4-1fea-451e-b662-701da740e7b6 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=62aeeba2-0771-48c2-8ca2-3f95cd8cdb63 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=197743e5-66f0-412c-b4d1-1982a08eaa0b | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=9997cd7f-35fc-47a3-bdeb-f13955d26155 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=6e0df9c1-92ff-48bd-a042-bab1d2c0fc11 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=cd8e9e27-961e-4dca-a2b3-02889aead9eb | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=441ae7b1-3a1a-43c9-9472-8ab9c114ab22 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=5ef90616-5ac6-4753-9de4-e6784e2397ee | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=1e28ac2b-ddd7-45db-ad82-433c475ffe52 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=0403b3c8-7ca1-47d8-9be5-e4e630230da0 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
