catalog cache disabled
catalog listening on port 3001
catalog request | id=fae90898-eef3-4f03-b124-678230e20b69 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=98dfc723-8fef-4c62-a678-7ade575d8d63 | GET /catalog | status=200 | durationMs=3 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=c90ad086-8fb5-474b-a5c5-459a36c69305 | GET /catalog | status=200 | durationMs=3 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=343780e3-6da8-4aa7-ae44-4b7b96c483ec | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=534681cc-866d-40e5-a9ec-ec74fd849462 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=6517c932-69e7-40cd-a88b-4f3109099da2 | GET /catalog | status=200 | durationMs=3 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=afaa7e36-734b-4d04-9f83-980e6ba9f888 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=74fff4e7-6293-4b87-b192-f7892250dbe6 | GET /catalog | status=200 | durationMs=3 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=795839e3-04eb-4d51-95ab-e2226616ffdf | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=fb00cc97-a18f-470f-a14d-4b85f60af600 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=20d03895-ff40-4747-aac1-fb616897039c | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=50164288-9c6a-4b95-9f96-54c4ab4c5c3a | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=eb021d39-2f7b-4d34-9943-ff15ebd432f7 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=0f214bbf-3aa9-4e33-8c4f-90a53867af90 | GET /catalog | status=200 | durationMs=3 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=eac3fde3-1878-43f4-8964-6ed6557c0332 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=5ff42849-2d65-4af1-8004-d5ee11c12e3d | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=245c4b85-2818-489b-8f90-b5292f884c6e | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=245c19aa-fd02-4e16-825a-dd646500d903 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=1bebad8e-600d-4e79-947f-22025273459a | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=05d85e45-dfee-48c7-ac62-c18f8ebe59be | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=528527bd-2197-447b-9246-8a59ddbd4b21 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=1ad080cb-b26d-4431-b3ea-04c44d725a91 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=d86fc83b-7b39-49e2-99a5-9e091c190654 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=7b561206-dbcd-4c36-8335-75b503888fe7 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=2f9163f5-a95b-4e40-9e31-30f00c3b83a6 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=d928bab2-c59b-4ac2-b551-8e957810b3ba | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
