catalog cache disabled
catalog listening on port 3001
catalog request | id=a92268a7-40cf-4057-95e7-0baa3dce9b20 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=fd652b0b-6e73-43c5-b4a8-825c270d1e4b | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=8c81fba9-fab8-469a-95e2-328a4cbd1a1c | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=fc171edd-1d58-4f7a-9098-c65637a3437b | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=ae254f9d-46df-47b5-9cf1-7d08bfbb9cb5 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=d92944d7-8513-46a6-8004-2b84283cda72 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=5a5bbf39-3661-446d-b1de-91589105410e | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=322fc8c3-e856-42de-bf35-4b193fb57038 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=ef57e7f5-7d3e-4298-8c74-90ecb6ecdce4 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=c43ed605-c187-4d7e-b4e4-f4187e92a47c | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=bdde54fa-ca5b-4565-a37d-8f4cfeec3250 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=320edceb-d81a-4c0c-9605-5a1b6c1ac30f | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=b1433254-5697-4c34-8324-711e67485a5f | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=32886e48-61c6-47b7-8136-fff3158c1791 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=4b813fe4-ce6c-4b4e-8508-dbad6ef0f450 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=2a11f597-ef95-49ed-838f-8c3624cac217 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=823348c2-e4c0-4ee1-a5f3-10d569561341 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=e6c6ac3d-05f6-4e58-a0c8-9030d1d6a52f | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=76f53cf9-7ad5-4193-8839-4f8460d037d1 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=f77968a0-a54b-4544-9c52-80e9c49edd6f | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=75309591-d577-457f-8784-35cbae81ea25 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=4428403c-486a-4716-9253-e74afbd36c09 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=a591eefe-24b7-4579-885f-6f2101fdbb8a | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=df2ae854-066e-46c3-9358-5e2633f2b130 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=3727425a-f77a-4d12-ba97-bc923594f300 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=8d084cd8-db27-4a50-96c7-9dff1cd25bcf | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=4d3d8884-2e6a-43e9-9c85-9a0598141146 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=9f1a877f-d4fc-4363-86a3-6d02771be7ad | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=13ba410e-5a94-47af-b48c-0b42e97b6d25 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=fea4b4cb-bbe1-44d1-96e2-6628036c93da | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=779182ab-b8a7-4d1f-9e8d-05695d276db2 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=d052a274-51ab-419e-8820-bf5f3a638342 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=c45c0c66-3f74-4a67-9777-35ae7150f3ec | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=59153ac0-f0e7-4f4a-98f0-7e97eb711d48 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=4b05c3b5-739d-4a9d-be98-ea8560a4a1f4 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=ed5a910e-cd55-48db-bbbc-4d29d34b33fb | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=21128a60-b157-45b6-8501-bbd7d9f01297 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=5919719e-06b8-4497-9551-0c390f2903af | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=a19d8454-27c4-417f-bca5-5e5fc9ad50a1 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=640db1e0-d288-4374-93e9-cc51086e970b | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=df45cd62-4c98-43af-af6f-60a33462296c | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=e3dbe451-e478-457e-ba82-f6a057fa5c30 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=b0335d17-4a13-4b90-a1f2-b410b2d65849 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=23f81ca1-8818-467e-b05e-c62c1e40894c | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=f8e519aa-e8c1-44ce-8a2f-9b17485aa0ce | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=afe6716f-f386-43eb-b0d9-31cd390cb18d | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=be2a380f-3d8c-465b-975f-3c78ab98afac | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=3174dcc6-693e-4228-8b2e-e9679e903575 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=4cca1677-9ee9-4368-adaf-4db4a19c6ae8 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=183df26e-b162-447d-b302-79712d196837 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=c09a9bb9-ccb3-414c-98a3-4170296578db | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=a1bb54e1-f57b-4149-923c-6235515f141b | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=d4ad42c7-d2b4-4dc7-9d0a-b41024bbd4e8 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=3688897a-97ae-4261-a3ec-4539c9fcb609 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=60068efd-3fcb-4fc3-97d1-eefaae551da7 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=67fb15b9-0939-43d8-a43a-ba48d9a60ede | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=29d93640-1c39-4b3a-8379-7d45f05dee20 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=4e93e960-7945-4466-b252-58cc69d6cf70 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=d2015794-91df-4f95-8d85-96a7e134d53e | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=301f4918-2e23-44d4-8d81-590de5ef3074 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=9dfeae85-8370-4612-a346-81258e29c474 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=4d17534a-2f5f-4510-8290-21b9e099fc66 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=29fd84e2-273a-4eac-8be5-147de32dcea9 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
