gateway listening on port 3000
gateway request | id=1ad9c941-b3c4-4cd0-bbbb-3f419ccac7a2 | GET /api/catalog | status=200 | durationMs=9 | upstream=catalog | cache=HIT | source=redis
gateway request | id=8fe6786d-bb19-47e8-a3e1-04e84c7ee844 | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=HIT | source=redis
gateway request | id=a87743eb-fd4c-4981-8262-6d5cfe816985 | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=HIT | source=redis
gateway request | id=940d2c80-47b8-49b3-8091-ec89f6da75c0 | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=HIT | source=redis
gateway request | id=c7ca6d99-1e22-4b05-b781-4bb06e705f1b | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=HIT | source=redis
gateway request | id=fd8d6483-4b78-4606-b013-0a84d63625e5 | GET /api/catalog | status=200 | durationMs=10 | upstream=catalog | cache=HIT | source=redis
gateway request | id=dbe8634c-aad0-4516-a29b-9fb23a7d716b | GET /api/catalog | status=200 | durationMs=15 | upstream=catalog | cache=HIT | source=redis
gateway request | id=8ea40189-0f36-44ca-b3aa-928c493f5106 | GET /api/catalog | status=200 | durationMs=9 | upstream=catalog | cache=HIT | source=redis
gateway request | id=a2b32ff7-90b6-4bb4-86b5-164b6510e9a0 | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=HIT | source=redis
gateway request | id=d2d2c249-2d60-4860-af59-a5d90f44008f | GET /api/catalog | status=200 | durationMs=11 | upstream=catalog | cache=HIT | source=redis
gateway request | id=7e214ef8-b255-468c-b985-6e8b3ab691b1 | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
gateway request | id=cd32516e-740e-48bb-accc-c269b4d68661 | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=HIT | source=redis
gateway request | id=a7fbae61-f0d0-4c61-a841-4c1c3f41b0d9 | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=HIT | source=redis
gateway request | id=7afad815-30b6-459e-9cf6-382d1d9d9805 | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=HIT | source=redis
gateway request | id=6b3df9c4-eed1-4eb5-b194-b5d15cea66aa | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=HIT | source=redis
gateway request | id=2eba6f7b-95da-42aa-849c-d468dbc68882 | GET /api/catalog | status=200 | durationMs=9 | upstream=catalog | cache=HIT | source=redis
gateway request | id=84caf67f-f2c6-445b-9d87-f22ab69d45a2 | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=HIT | source=redis
gateway request | id=0a61aecc-dd2c-418d-aee5-48442cfbe8a5 | GET /api/catalog | status=200 | durationMs=9 | upstream=catalog | cache=HIT | source=redis
gateway request | id=ff87d241-7deb-4f37-8dab-2531d69063d7 | GET /api/catalog | status=200 | durationMs=10 | upstream=catalog | cache=HIT | source=redis
gateway request | id=351d48fb-dbbc-45ac-8a0f-05ba5377cad1 | GET /api/catalog | status=200 | durationMs=13 | upstream=catalog | cache=HIT | source=redis
gateway request | id=5f53026a-ce7b-4626-ab1d-581762acf61e | GET /api/catalog | status=200 | durationMs=18 | upstream=catalog | cache=HIT | source=redis
gateway request | id=357ecbce-2d06-4058-ad56-cc00b50cc46b | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=HIT | source=redis
gateway request | id=14fecb7d-ee06-4ee9-9424-691e49a10c10 | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=HIT | source=redis
gateway request | id=413b0968-feeb-4f10-a95c-6d4e0e0bb2a6 | GET /api/catalog | status=200 | durationMs=10 | upstream=catalog | cache=HIT | source=redis
gateway request | id=a7d3c256-83d4-4eb2-8d3b-7bf4742b1369 | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=HIT | source=redis
gateway request | id=f75eeb68-4c93-4ead-964f-1bdfec917529 | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=HIT | source=redis
gateway request | id=a52bb0f1-5018-4038-b8f7-2034e298aa99 | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=HIT | source=redis
gateway request | id=f2373663-b65c-4608-831b-ec0b4262e7f6 | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=HIT | source=redis
gateway request | id=b1c4ea18-2646-4bdb-b388-f4ce85c96959 | GET /api/catalog | status=200 | durationMs=11 | upstream=catalog | cache=HIT | source=redis
gateway request | id=0870bb1d-e58a-4ea1-8c10-72798c2ce922 | GET /api/catalog | status=200 | durationMs=18 | upstream=catalog | cache=HIT | source=redis
gateway request | id=7780f540-6198-4cfd-9a8e-bab9ec25b279 | GET /api/catalog | status=200 | durationMs=23 | upstream=catalog | cache=HIT | source=redis
gateway request | id=9a3b5635-b7bf-47a3-bb66-58b5365243b2 | GET /api/catalog | status=200 | durationMs=29 | upstream=catalog | cache=HIT | source=redis
gateway request | id=05f46d0e-d1b1-4090-8fb5-c96534169e78 | GET /api/catalog | status=200 | durationMs=30 | upstream=catalog | cache=HIT | source=redis
gateway request | id=ef56888b-1f96-4d35-abde-32397daf754f | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=HIT | source=redis
gateway request | id=7c232001-7622-4cb0-8a1e-1289fd631b6e | GET /api/catalog | status=200 | durationMs=9 | upstream=catalog | cache=HIT | source=redis
gateway request | id=0fc3b3c8-0cf8-42ef-9b82-5c8c940a267f | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=HIT | source=redis
gateway request | id=f45e8e56-9ee4-4685-9945-74b0eb11ad81 | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=HIT | source=redis
gateway request | id=efdc96bb-6a02-4990-a534-995d9b5927bc | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=HIT | source=redis
gateway request | id=54b659f8-7811-4b15-b1a7-a52e52f1fafc | GET /api/catalog | status=200 | durationMs=17 | upstream=catalog | cache=HIT | source=redis
gateway request | id=ef4924e8-6388-450e-8a55-9ac4e093e92b | GET /api/catalog | status=200 | durationMs=14 | upstream=catalog | cache=HIT | source=redis
gateway request | id=a1a6d0d1-6aa7-4131-9fd4-b35bf64e4142 | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=HIT | source=redis
gateway request | id=be80b3be-4851-4cb6-8a07-5dae97cdebe3 | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=HIT | source=redis
gateway request | id=6d17f8f0-85d2-4b7e-94e1-41f12d2f198b | GET /api/catalog | status=200 | durationMs=11 | upstream=catalog | cache=HIT | source=redis
gateway request | id=a77809a1-266c-4273-ad84-1c55c2cec05b | GET /api/catalog | status=200 | durationMs=10 | upstream=catalog | cache=HIT | source=redis
gateway request | id=0c728222-ae56-46cd-83f5-d15ebc9be81c | GET /api/catalog | status=200 | durationMs=16 | upstream=catalog | cache=HIT | source=redis
gateway request | id=dcc628f4-d2fd-46b4-9da2-5e6b95127299 | GET /api/catalog | status=200 | durationMs=11 | upstream=catalog | cache=HIT | source=redis
gateway request | id=d4c634cc-3f34-464b-9e8e-91a0a037721e | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=HIT | source=redis
gateway request | id=d1f958bb-d385-4651-9aa4-72d12f83b140 | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=HIT | source=redis
gateway request | id=20edc13c-e620-4be0-bedf-6cc752614996 | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=HIT | source=redis
gateway request | id=ab030be1-6ef4-4e93-8a13-298122095905 | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=HIT | source=redis
gateway request | id=03afb48a-55e6-4429-9385-30e67513433e | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=HIT | source=redis
gateway request | id=643d64bb-6639-465c-aa88-c997fdb50e76 | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=HIT | source=redis
gateway request | id=7c965a31-4eb2-4626-a2f7-8cd4f5b6b2fa | GET /api/catalog | status=200 | durationMs=9 | upstream=catalog | cache=HIT | source=redis
gateway request | id=e8d98625-38b5-47ab-aa8e-c56caff30c35 | GET /api/catalog | status=200 | durationMs=9 | upstream=catalog | cache=HIT | source=redis
gateway request | id=e675841e-0a13-4933-9188-9ce956f4e146 | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=HIT | source=redis
gateway request | id=641c315a-5c95-4b80-be56-0c54a834358f | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=HIT | source=redis
gateway request | id=e7908dc1-3ee1-4bf8-8af0-57d4ba4b8ee5 | GET /api/catalog | status=200 | durationMs=9 | upstream=catalog | cache=HIT | source=redis
gateway request | id=45ff7f93-88f4-46c7-9742-e5da511304f6 | GET /api/catalog | status=200 | durationMs=9 | upstream=catalog | cache=HIT | source=redis
gateway request | id=d973fc62-5bdd-4772-8583-8bfca946e881 | GET /api/catalog | status=200 | durationMs=16 | upstream=catalog | cache=HIT | source=redis
gateway request | id=553f42e4-a9f2-4170-ae6f-b37fdbc19b5a | GET /api/catalog | status=200 | durationMs=11 | upstream=catalog | cache=HIT | source=redis
gateway request | id=e5c215dc-8bd2-462d-a939-4b08651e0b1b | GET /api/catalog | status=200 | durationMs=12 | upstream=catalog | cache=HIT | source=redis
gateway request | id=ec6970f0-6052-4f8a-979c-a49d780f3460 | GET /api/catalog | status=200 | durationMs=15 | upstream=catalog | cache=HIT | source=redis
gateway request | id=557005bc-dceb-4dad-9cc8-e34e20c382ed | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=HIT | source=redis
gateway request | id=ae59dec9-6f39-4b20-81e3-c40d7cde6188 | GET /api/catalog | status=200 | durationMs=9 | upstream=catalog | cache=HIT | source=redis
gateway request | id=df59baa0-927b-47bd-bf41-677b23478f61 | GET /api/catalog | status=200 | durationMs=9 | upstream=catalog | cache=HIT | source=redis
gateway request | id=53fffee0-06c8-4393-a0e7-fbd457a27ce7 | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=HIT | source=redis
gateway request | id=79258a99-e567-4e80-819e-42458af8756e | GET /api/catalog | status=200 | durationMs=9 | upstream=catalog | cache=HIT | source=redis
