catalog cache disabled
catalog listening on port 3001
catalog request | id=1bc62787-f85b-4a8f-8184-c980d6e1c729 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=68d1b216-7b24-4a1d-b0f3-6c8071fc0ed3 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=c7f99e4e-bb30-4899-aeb3-c8995cc0bde5 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=72b44f63-fcc5-44ae-abee-6140a3a5ee2d | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=d785767b-efd4-48f6-a46a-2124f83ecdbc | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=fa437cb3-614c-44ba-b79b-eefd2f378e65 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=ec0a9843-8b88-499f-93a6-b95ac7be6360 | GET /catalog | status=200 | durationMs=7 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=46c19d03-29a7-403e-a3c9-82fa92811e99 | GET /catalog | status=200 | durationMs=4 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=8c1ddaf9-68b4-4cbb-97cb-84fd92507ec2 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=7f61203b-8a60-47af-bd47-1f6e92d717f1 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=7a8555fd-a084-4a7c-bd1b-ac802e099663 | GET /catalog | status=200 | durationMs=3 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=61b57104-9845-41a0-abff-f1b3fcf8db85 | GET /catalog | status=200 | durationMs=5 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=eb5d9863-7aa1-43b4-bd0f-c258a17526fe | GET /catalog | status=200 | durationMs=12 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=eb253847-546c-42bf-b05f-f562efec5fe3 | GET /catalog | status=200 | durationMs=4 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=9d121d8e-8b86-42a1-9468-062a8e6f9cfb | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=493b2b78-d280-4ffd-b5e5-b3da29d29a94 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=e191e67d-c7f2-4662-a387-e1169443c10b | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=79e8725d-ad56-462a-9d6c-781180c783d7 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=839a606e-80d7-4238-bf22-25ad09e625d8 | GET /catalog | status=200 | durationMs=3 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=73ef63b6-fc2a-4f29-99c4-1bdbc7ea45a2 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=7b64ea1a-3b39-482c-8d6f-33c1bb959fce | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=7a4a4350-ac17-4970-ac65-55b90223b229 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=6b291766-3044-429f-ab7f-da5fbdda5054 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=e7e72e35-da2c-4815-a81f-262774cf8d23 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=9bae700d-ba46-49e0-9d59-a2f53621d88c | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=7c81f3e5-37ca-473a-9f72-911041fd3ff7 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=43e7ae5a-506c-47eb-9dcd-96b827ce6e58 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=7706bffb-123a-4391-9863-08299388ad5f | GET /catalog | status=200 | durationMs=4 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=bfdefba8-b37e-4a8a-97de-73edf91717fa | GET /catalog | status=200 | durationMs=3 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=9e726598-c181-45fb-8d19-3a365c0158a9 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=f7cc4e8f-2452-4df0-8590-2a3e34145043 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=f7a1a9a7-e6ff-4149-97eb-2597d0e4658d | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=00d5a23f-ebfd-4004-bab4-4b5c28fff9a9 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=b6cd7354-142e-427c-b0ea-c56d4dcd9a69 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=fa165cdb-64aa-449d-bc37-60cc3abf73ee | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=12dc6b83-3f16-4f5c-b209-61cbc7a6f6a9 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=4d71a0f9-5ca2-4da8-8c87-a8a33dba269d | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=9f43356b-bfab-4908-a468-01da9e4d92c2 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=a80a1053-8c25-4d71-a32c-56fcb6c4c0cd | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=8dd5715a-e1f1-4974-ad26-8fd166ca8506 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=3a0a8dcf-e9d5-49e1-b604-c7570a0fa390 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
