gateway listening on port 3000
gateway request | id=93a76de5-6d9d-4646-a977-f1a4bca694ee | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=c54fa598-41e6-4e07-b5a7-3375dc980169 | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=3ca4b03b-9671-477d-89dd-4bf380fc1a0c | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=bccde14b-f738-4a85-8943-c3ce5005363b | GET /api/catalog | status=200 | durationMs=14 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=4c7f5ed9-7915-4fac-8909-8097d3c095c6 | GET /api/catalog | status=200 | durationMs=9 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=ac973e76-9c6a-4298-9f23-8a72874f4b76 | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=6fb38310-2dff-4f50-a09e-bb96230b2d55 | GET /api/catalog | status=200 | durationMs=9 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=73119ca4-1af0-43a6-8834-ceb9b612fc1c | GET /api/catalog | status=200 | durationMs=12 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=69102fa9-2619-4b60-be78-967a56da5351 | GET /api/catalog | status=200 | durationMs=9 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=3d5dd471-94a4-467e-bba4-190eef7a4031 | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=35defe74-9e84-4081-ba15-73e44745f9be | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=2a55a726-0f98-45ac-8bd5-9e2b1a9f7705 | GET /api/catalog | status=200 | durationMs=9 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=4a7e5044-f5f4-4560-a910-14c8e8ec72ce | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=a49f9a6c-7832-47be-955a-b2cd7c66365d | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=f47086c4-828c-4885-8737-8b5354ece2f3 | GET /api/catalog | status=200 | durationMs=11 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=4fa9096c-3029-4b18-9902-1abbf03e3f4e | GET /api/catalog | status=200 | durationMs=9 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=d1ca69a5-062a-43c2-b961-1c1d7f6e08fb | GET /api/catalog | status=200 | durationMs=14 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=1de27c0d-1649-4745-8569-84f31496111c | GET /api/catalog | status=200 | durationMs=13 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=92fadf45-a501-4b19-83dd-994e4d3d96ca | GET /api/catalog | status=200 | durationMs=16 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=cb6dc424-96c4-440a-b400-c351553d4e41 | GET /api/catalog | status=200 | durationMs=11 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=ab5a3aef-5439-4b3e-9958-49936a7de085 | GET /api/catalog | status=200 | durationMs=9 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=112f0b86-5c02-4856-824e-5e23e7a6bb18 | GET /api/catalog | status=200 | durationMs=13 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=08ae0aa7-7972-46eb-b435-b5868a849ca6 | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=ae06120b-2a0b-461e-b52d-fe94fd6d7fa7 | GET /api/catalog | status=200 | durationMs=9 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=56b7a6dd-9adc-42b9-a39a-27b8a2bb46f8 | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=c04105cb-f222-4f2d-af49-335e29979fa1 | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=d9a3b07f-5c86-471a-9dba-f00f9a4f1d16 | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=75caf6d3-0097-4ff6-b5b6-03e25c8aa887 | GET /api/catalog | status=200 | durationMs=12 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=482b4a9e-4001-4671-aae6-6edf68b75ab0 | GET /api/catalog | status=200 | durationMs=10 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=73e2a481-30d9-4a51-bf29-7dbe481dd552 | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=822c57e5-a1f8-4002-8dd3-20e41b4e3c49 | GET /api/catalog | status=200 | durationMs=9 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=4dbfdc78-c6e9-4f77-b47a-1a6fbb586cc1 | GET /api/catalog | status=200 | durationMs=11 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=50f8b85f-3390-42a9-a9a2-8420e8848b62 | GET /api/catalog | status=200 | durationMs=18 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=b246af17-b6df-4064-af45-b7d83e8f4255 | GET /api/catalog | status=200 | durationMs=12 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=382c2c11-4a8b-4ec6-b904-db723adc4cbd | GET /api/catalog | status=200 | durationMs=10 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=a211d7aa-5162-45de-ab8c-4303895563e4 | GET /api/catalog | status=200 | durationMs=19 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=6c2e13eb-1324-4327-90ac-e72e08ef3f07 | GET /api/catalog | status=200 | durationMs=9 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=e46aafe0-1ecd-4b6c-b291-c539d56a6fbe | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=495a1ce1-25da-43d4-9667-77acb2de2f40 | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=b9631b50-5d53-4522-a9bb-fd21aac004ac | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=6d65bb63-19a6-4f64-9c11-2cdfadb89af6 | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=5d040053-a17d-43d4-b74d-7964a21782bb | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=a977d4b0-9a13-475e-8a85-28e4b9c99853 | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=d4f844b0-a438-425a-8f77-3b47095f3845 | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=92781848-b1b0-4861-9778-1c62fd422667 | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=fe7c12cf-d945-4a9c-b670-3c18a88e47e7 | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=80723f4c-1009-468d-b919-8419c82bfb69 | GET /api/catalog | status=200 | durationMs=9 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=65a932f9-fd49-4e1b-af7d-8444e79dbbc4 | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=1755576d-ac93-4c7e-a867-9e02f6dd058a | GET /api/catalog | status=200 | durationMs=9 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=7dfec90d-f543-4ceb-8792-f249ff732c29 | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=38932bed-f760-4c39-81ae-6f5c5efefb2a | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=19760420-1b85-4e42-8bf5-2255d4791019 | GET /api/catalog | status=200 | durationMs=13 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=43104944-0493-4e9d-85ef-203d36dbca90 | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=54ab3786-88c2-48d9-a239-0cb55bb5e869 | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=d80c7a16-552b-4523-b1ed-6b9bdd116100 | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=90befbc3-c63f-4fe3-bc4e-3657f689d20e | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=0e4f1caa-cbcd-49e3-9b2c-56fff0c0f809 | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=4494d4d6-a3aa-477c-92bf-764f543f69cb | GET /api/catalog | status=200 | durationMs=10 | upstream=catalog | cache=MISS | source=dataset
