gateway listening on port 3000
gateway request | id=a3d5ba19-324e-4e19-80d5-7064b80efa57 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=f5b9efa8-51f9-473b-9732-ae4e318b9c79 | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=5781da9e-aa35-421a-88d2-fa61645bee2e | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=df7f7682-925b-4eea-9f61-68a945b22711 | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=8e6517d8-87d6-4e87-9b86-77098deea88c | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=d2c5b803-6917-4be1-a487-57fda297c728 | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=1d087d45-0bd9-4f36-912f-7486e815208d | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=6b6c545f-a331-4f60-875e-134eea13cf8a | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=1dee57b4-8d86-4d77-860a-2619be779643 | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=7c2d508b-dba7-4b3c-92ac-ae52d7d603e6 | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=68d60adb-f253-46bb-bac7-aea013bd47ec | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=d75e982d-6a31-43e5-a3e6-cc8b05d5c2ee | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=8c123f5d-72ce-43c1-8a83-42329adc478f | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
