users listening on port 3002
users request | id=af060947-b524-49fa-a0d1-27852008f936 | GET /users/1 | status=200 | durationMs=0
users request | id=8ddaa1f5-71aa-4b85-b504-22211c254437 | GET /users/1 | status=200 | durationMs=1
users request | id=f6a090a8-5154-4f88-8068-4b4bf32243cf | GET /users/1 | status=200 | durationMs=0
users request | id=bb292859-f8e0-46ee-bad2-54ea443db8ed | GET /users/1 | status=200 | durationMs=1
users request | id=a8c28213-acf3-481b-91d9-5ab001696549 | GET /users/1 | status=200 | durationMs=0
users request | id=d43378bf-9880-410a-b172-2f7dc943b306 | GET /users/1 | status=200 | durationMs=0
users request | id=6b2e49fa-4183-41d5-8f53-db2bb3fcfa9b | GET /users/1 | status=200 | durationMs=0
users request | id=ea1219b1-9d15-41f4-aa96-e8011c1e45d2 | GET /users/1 | status=200 | durationMs=1
users request | id=6d17fa72-f8fa-4334-8b1b-2900275a7b50 | GET /users/1 | status=200 | durationMs=0
users request | id=b1aa6ffb-3f01-45a7-bc3a-b331a9b708dc | GET /users/1 | status=200 | durationMs=1
users request | id=24a75a00-0e91-4f0c-8fc4-c18a7a1a8bac | GET /users/1 | status=200 | durationMs=0
users request | id=7e3da8e2-13d0-49fe-abe3-a8af11322afe | GET /users/1 | status=200 | durationMs=0
users request | id=9cfeaabd-84b2-4ce5-b9d7-6b3b9ce53096 | GET /users/1 | status=200 | durationMs=0
users request | id=294652ba-61ee-4b27-83ee-5c5c0441fe60 | GET /users/1 | status=200 | durationMs=0
users request | id=b8407c86-9dc9-4958-953e-31a9cdb13e22 | GET /users/1 | status=200 | durationMs=0
users request | id=9264c7d0-eca1-45dc-8518-3822cb15ba19 | GET /users/1 | status=200 | durationMs=0
users request | id=ee736148-a891-496e-89ab-6d6aa4331d70 | GET /users/1 | status=200 | durationMs=0
users request | id=314e95d4-3636-4e6c-9a71-9a6e69c292aa | GET /users/1 | status=200 | durationMs=0
users request | id=a9c548ef-e22d-444d-9225-29980c8350e7 | GET /users/1 | status=200 | durationMs=0
users request | id=09ce8dc2-47ef-42a4-98ab-78f0be526eb9 | GET /users/1 | status=200 | durationMs=0
users request | id=54e08691-b0d3-4dc9-9a35-1b393b8fa09b | GET /users/1 | status=200 | durationMs=1
users request | id=d65b7954-3857-4b6c-bce4-b495ae6a8d80 | GET /users/1 | status=200 | durationMs=0
users request | id=e9409236-c791-43c0-9b8a-1e9e8c580b9c | GET /users/1 | status=200 | durationMs=0
users request | id=9ae43ca9-aa4f-4af3-b373-0d7577095465 | GET /users/1 | status=200 | durationMs=1
users request | id=316669aa-7dfb-4640-b8a7-11c309a66830 | GET /users/1 | status=200 | durationMs=0
users request | id=0b6276cc-ce7d-4996-ae90-d574db854040 | GET /users/1 | status=200 | durationMs=0
users request | id=660e4f9c-6f10-4dbe-be4d-2a4ba2d90b83 | GET /users/1 | status=200 | durationMs=0
users request | id=c69d89ef-56f8-47a4-8e1f-f3c200712b19 | GET /users/1 | status=200 | durationMs=1
users request | id=d41679ce-535e-4f2f-b070-ad9f32e8c813 | GET /users/1 | status=200 | durationMs=0
users request | id=b25a3eb9-34e9-4f3a-a71d-e7a82ff10dc2 | GET /users/1 | status=200 | durationMs=0
