
> users@1.0.0 start
> node src/server.js

users listening on port 3002
users request | id=bcab061a-f44d-4f20-b680-2acd585eb42b | GET /users/1 | status=200 | durationMs=0
users request | id=f661a6ae-ab1a-4da3-a52e-74279278725f | GET /users/1 | status=200 | durationMs=0
users request | id=0ef3445d-b50d-49af-9286-66312cae0b1b | GET /users/1 | status=200 | durationMs=1
users request | id=63750b25-d7a7-4ad2-a24b-4c7222f6ba54 | GET /users/1 | status=200 | durationMs=0
users request | id=e0e0f01c-3be1-4845-a1a8-edf8e06ac141 | GET /users/1 | status=200 | durationMs=0
users request | id=847adfd2-367e-4344-b085-92dbb1c5620a | GET /users/1 | status=200 | durationMs=0
users request | id=d621b822-d153-4156-9a6f-132e53fc4516 | GET /users/1 | status=200 | durationMs=0
users request | id=5ffbefeb-b3c5-46be-8480-2856649ebc98 | GET /users/1 | status=200 | durationMs=1
users request | id=5307ed40-7b2e-442e-83ef-248d96506606 | GET /users/1 | status=200 | durationMs=0
users request | id=b0a9dc8f-460a-4112-a455-d0c28cfa8c34 | GET /users/1 | status=200 | durationMs=0
users request | id=6fbbe861-b459-42b5-b81a-330129810fee | GET /users/1 | status=200 | durationMs=0
users request | id=65c6b25e-3dfd-411a-bf42-1ccf8779fe7e | GET /users/1 | status=200 | durationMs=0
users request | id=7d3964d3-9908-42df-bf60-025d707b0778 | GET /users/1 | status=200 | durationMs=0
users request | id=712749cf-81c1-476d-a213-77fc9d9eafbf | GET /users/1 | status=200 | durationMs=0
users request | id=60b06ff1-bb76-48f7-8d6b-0d65e3dd6e66 | GET /users/1 | status=200 | durationMs=0
users request | id=556c178f-4648-4702-8e03-377ae0f84693 | GET /users/1 | status=200 | durationMs=0
users request | id=4ee5bfe0-6dba-4f29-bc59-37bc3c0c77f4 | GET /users/1 | status=200 | durationMs=0
users request | id=49efe851-dbb9-4e48-a1cf-51c0161d68f2 | GET /users/1 | status=200 | durationMs=0
users request | id=c27931f9-6306-4a3d-9216-31b7759522c7 | GET /users/1 | status=200 | durationMs=0
users request | id=d80f6380-60c9-4913-a8b4-487f511276c4 | GET /users/1 | status=200 | durationMs=1
