catalog cache disabled
catalog listening on port 3001
catalog request | id=ac8646ca-1023-4791-8439-cff1235bd814 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=62849d92-b147-48e4-8c97-504f5d8361b4 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=91a7641f-aaab-4ec6-a030-fe2eeea87c24 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=f761e89b-43dd-4f7c-8a70-1c9b089c26ce | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=d2457530-2459-4205-8d09-7ece62b7a9fe | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=b5a3ea6b-1787-435b-b201-1ca0b46e31cc | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=4da854c5-68b8-4ee2-8e46-6091c9698be8 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=9ac69138-ed93-4af9-8b5e-11f8a45077c4 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=88c6058c-d01d-44c5-a5a4-93889bb3a62e | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=73c76de5-3d0e-40d1-8e26-091450dba52f | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=7d962d5e-f7b2-433c-a33e-6d128b4fc3b8 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=3b80691e-44e6-4416-a709-2503330cb08b | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=c9b6f83b-e5b8-493a-8a23-f25d4abd59ed | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=13a0f48a-515a-4056-935c-e39007261a55 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=bebee9b9-092b-4ac6-af22-f14695829954 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=aa8e3efe-3834-4f9f-97c3-30b461823412 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=9055af70-4224-48bf-be0c-a8b5d48510d5 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=8a7081ec-a793-43be-9bef-7cd458325d6c | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=df3e5259-7c9d-4d40-9f3b-423d17cc1806 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=be558bd5-d003-479f-826f-fe9090db2bb1 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=c9ce4ab5-3b37-45de-9fc8-c1312d8d155c | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=8fe76c7f-f777-459f-aa8b-4b4e8d3c16e1 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=3f5a04ea-8fef-4e56-96fd-76d2e75ab31d | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=e22e37be-96ce-400c-86c7-d28d40d93b22 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=31cafed5-24cc-42d6-a3e7-59bae1b5eacd | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=2563783c-1a42-4ca9-a717-cd0595e53318 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=772bfb49-0637-43b3-b1a9-257f1c853993 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=7a21b433-a44f-471b-8069-3a610bb20b69 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=ca5884ad-4a46-4b1d-85d5-473d91b08307 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=2e336876-5d08-4502-adb7-a9e5c61a4898 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
