gateway listening on port 3000
gateway request | id=55bb8ce1-2134-47f4-b63b-8bef74dd0850 | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=HIT | source=redis
gateway request | id=0b21e270-fa4e-4df3-b73c-15f68dceecc0 | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
gateway request | id=d3f536bc-3394-4a94-a498-9dbe301cee3f | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
gateway request | id=14e1f73b-0408-4c09-ab20-96433dc3526b | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=HIT | source=redis
gateway request | id=96f86a6f-461e-478b-9ad6-2ac686683584 | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
gateway request | id=ca336818-1d27-4d54-8cc5-84d42c196949 | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=HIT | source=redis
gateway request | id=9c0078f4-a961-46ce-8c32-bed60c2aa827 | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=HIT | source=redis
gateway request | id=799d8ab0-0003-4a97-ac3d-b9ca38d83a5c | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=HIT | source=redis
gateway request | id=4c2145ee-f6de-412b-b6b5-4ba20c4c2bc0 | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
gateway request | id=474ad44f-756f-4afc-8b9b-461bd26d21b4 | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=HIT | source=redis
gateway request | id=a85b5e74-074f-451a-96a2-5301a624dbb0 | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=HIT | source=redis
gateway request | id=53cdd57b-6768-4397-9764-958fa2e2b935 | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
gateway request | id=7b60cb4d-ba2f-40c6-8797-865161ed1c1d | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
gateway request | id=689a357c-7508-44ef-ae4a-69846084b9a6 | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=HIT | source=redis
gateway request | id=97898ef0-e256-4479-beaa-cf0317d0eac6 | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
gateway request | id=f6beba18-a568-4ccf-91d5-2d4812b6d980 | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
gateway request | id=f9d661d0-5fcb-4772-a43a-5bcab4b31282 | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=HIT | source=redis
gateway request | id=b75acb09-6115-4089-a54c-def7a000cfbf | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
gateway request | id=61e93cc6-40c2-4308-98ef-7bb8b9f859ff | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
gateway request | id=96489942-a998-479f-8b98-831d2b8b7385 | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
gateway request | id=a4419c73-666c-49a1-a24e-b2e250f43044 | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
gateway request | id=3690fb25-026e-4f9e-aaf7-651adc44cd2e | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
gateway request | id=eca6b578-a573-497f-9364-cb4c88a3fee4 | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=HIT | source=redis
gateway request | id=2e9ef92c-87c4-4a2b-ad24-6faa35f8b1ef | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
gateway request | id=ada6ed03-921a-414c-802c-64d6af2e7668 | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=HIT | source=redis
gateway request | id=a1536825-6749-4b0e-bf47-438e65788f17 | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
gateway request | id=c652e5fd-8487-4bae-a7f8-60b87c8c8505 | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
gateway request | id=b058c976-5dd3-4c4b-b27d-c218649311ee | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
gateway request | id=15f992a7-4f6a-48d5-a1b3-7091f0817e91 | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=HIT | source=redis
gateway request | id=b4db1390-e813-4cc7-89fa-6e4c360a2d09 | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=HIT | source=redis
gateway request | id=057ef6f5-c6e1-42d1-bedb-d32f9b91bec8 | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
gateway request | id=71374501-66bd-41a9-b858-bb58ab8b9e75 | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
gateway request | id=b76c9a19-39ff-4f45-a565-4f8657a5baec | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=HIT | source=redis
gateway request | id=1b050b2d-3929-4bdb-8520-22f1ca16d0f1 | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
gateway request | id=88f902ca-50e2-452a-81c0-d690aa56bf60 | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
gateway request | id=f0ad28e0-933a-4651-8941-3fc9b43a9f08 | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=HIT | source=redis
gateway request | id=547911ea-4602-41b4-962e-663d13329196 | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
gateway request | id=9fbe1d0c-2641-4526-a803-6195e12828f1 | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
gateway request | id=8165b7e1-265c-4ad6-83d9-6f82e031aed8 | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
gateway request | id=eb37b93b-cd6e-4a58-9962-7e3a9120c5bd | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=HIT | source=redis
gateway request | id=d7722922-9afb-4c57-9476-81a0171ef770 | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
gateway request | id=2c7aeb9a-f7cb-4991-adc3-16b676660f54 | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
gateway request | id=d8fb8d88-8f9e-4502-bbc2-1b3d79de2076 | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=HIT | source=redis
gateway request | id=0c2f851c-0ed7-47ae-8f0f-c779b7fd9e45 | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=HIT | source=redis
gateway request | id=cf59de52-58cd-4dd8-93e1-e56175bd7b53 | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=HIT | source=redis
gateway request | id=fe11bc8b-100b-45c0-9dcb-4e814a4d00a3 | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=HIT | source=redis
gateway request | id=3699c65a-42be-463d-b1a1-215fad0733f1 | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=HIT | source=redis
gateway request | id=56101a6e-e0e3-40ce-ab08-9d6fbae6500a | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=HIT | source=redis
gateway request | id=17fe93dc-e30f-4541-bdbb-56366a8091e8 | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=HIT | source=redis
gateway request | id=24be72b8-110c-448b-85db-ccd166f4272b | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=HIT | source=redis
