users listening on port 3002
users request | id=e63c0956-8f00-49fb-be2d-3afcd957d634 | GET /users/1 | status=200 | durationMs=1
users request | id=587c160a-6c23-44ea-9046-c4af8cce376d | GET /users/1 | status=200 | durationMs=0
users request | id=631737d8-ed32-4917-a078-f2e2e6d56ca1 | GET /users/1 | status=200 | durationMs=1
users request | id=5d6e5191-e2a2-4e8a-9486-9c5bd57555e8 | GET /users/1 | status=200 | durationMs=0
users request | id=04fb7da6-34ea-4ae4-b0d7-460965f689da | GET /users/1 | status=200 | durationMs=1
users request | id=5dab8948-f77f-4427-bd0c-e76ea2aed817 | GET /users/1 | status=200 | durationMs=1
users request | id=bc5c791e-ac22-4b09-8076-bc7ba1b4cfb9 | GET /users/1 | status=200 | durationMs=0
users request | id=01466a13-fb6c-40e9-9c4b-94b818ae627c | GET /users/1 | status=200 | durationMs=0
users request | id=7786e4ca-1d07-4bfb-924b-83e3bf8501e4 | GET /users/1 | status=200 | durationMs=0
users request | id=429f3dfc-64df-4afb-87eb-58689d7f792d | GET /users/1 | status=200 | durationMs=0
users request | id=92ae6416-11bf-4f09-ba20-58f409985c5c | GET /users/1 | status=200 | durationMs=0
users request | id=7e8cc1d7-dc10-4f8c-a87c-b6afce4b21c0 | GET /users/1 | status=200 | durationMs=0
users request | id=dfcad828-184a-4b3a-9ba4-8d65ac2a08f0 | GET /users/1 | status=200 | durationMs=0
users request | id=b89eef44-6b53-4713-a9fb-5999087f6448 | GET /users/1 | status=200 | durationMs=0
users request | id=576091d8-6eb0-44fe-930c-46f0b285bd57 | GET /users/1 | status=200 | durationMs=0
users request | id=44d73e83-0f63-4449-be47-c9fadc9b6918 | GET /users/1 | status=200 | durationMs=0
users request | id=abd49f21-c244-46a8-89e9-846d38ea6a90 | GET /users/1 | status=200 | durationMs=0
users request | id=31c62653-98bf-43b1-9606-4fb1735198d9 | GET /users/1 | status=200 | durationMs=1
users request | id=1afb8452-1b91-46ea-8d87-429340677a7d | GET /users/1 | status=200 | durationMs=0
users request | id=07e4c0b6-84a3-48f8-983a-25578e8c8d70 | GET /users/1 | status=200 | durationMs=0
users request | id=8424c40b-c5e0-487e-8890-cf2de8772438 | GET /users/1 | status=200 | durationMs=0
users request | id=dbd44757-d3c4-49a4-b2fd-77ac8d0ff94c | GET /users/1 | status=200 | durationMs=1
users request | id=463401b8-33d4-49c0-ac54-839582b198e3 | GET /users/1 | status=200 | durationMs=1
users request | id=9fc2be17-bf14-4781-9436-b0c199f2a2b1 | GET /users/1 | status=200 | durationMs=0
users request | id=f47a1948-badb-4e18-9041-2c34c6d7c533 | GET /users/1 | status=200 | durationMs=1
users request | id=09f5b6fa-fe53-4213-867a-731f4f905a9f | GET /users/1 | status=200 | durationMs=1
users request | id=4a04842e-993d-4bef-b6b8-e16b3c00cf66 | GET /users/1 | status=200 | durationMs=0
users request | id=8386248c-feb8-45f2-9125-1c0648b4c595 | GET /users/1 | status=200 | durationMs=1
users request | id=220645ea-9db1-4620-b383-2b179abc250a | GET /users/1 | status=200 | durationMs=0
users request | id=71e287f5-77cc-4413-8ed2-99e50116793d | GET /users/1 | status=200 | durationMs=1
users request | id=d495923b-666b-42a9-9a9d-1958019a72d4 | GET /users/1 | status=200 | durationMs=0
users request | id=5c60f523-25b3-4814-9248-285b932e04b3 | GET /users/1 | status=200 | durationMs=1
users request | id=b9467eb7-b5d1-4894-b583-bdffaedd3a09 | GET /users/1 | status=200 | durationMs=0
users request | id=37f3ad7c-458b-4f6d-83f0-1258bc196339 | GET /users/1 | status=200 | durationMs=0
users request | id=3dbd2b08-f1f9-4288-98d7-8be2c4cc13af | GET /users/1 | status=200 | durationMs=0
users request | id=e7fcefee-7698-4cea-9d95-3808e774d969 | GET /users/1 | status=200 | durationMs=0
users request | id=6ce67fbb-9693-46e7-9779-a33d860b6cee | GET /users/1 | status=200 | durationMs=0
users request | id=64605080-4db1-468c-a86a-dd135372db25 | GET /users/1 | status=200 | durationMs=0
users request | id=381d7b0e-4ca4-4a52-88d6-5d06794c0de2 | GET /users/1 | status=200 | durationMs=0
users request | id=1e59d026-5ac6-4e5f-ad72-75404a152574 | GET /users/1 | status=200 | durationMs=0
users request | id=08dfa809-92f5-491a-80bc-1803f95a1427 | GET /users/1 | status=200 | durationMs=0
users request | id=c3ab3e7f-c3cf-4943-a7d1-2059e65a5cc8 | GET /users/1 | status=200 | durationMs=0
users request | id=623d7571-b20d-4e9f-ba1c-465359d4c705 | GET /users/1 | status=200 | durationMs=0
users request | id=32bd3a7f-7b7e-48de-83e8-3fd894fc3707 | GET /users/1 | status=200 | durationMs=0
users request | id=702e173c-cc93-4150-b60a-acb785d4b54f | GET /users/1 | status=200 | durationMs=1
users request | id=2157bde7-20a0-4c36-87da-612280a8cc05 | GET /users/1 | status=200 | durationMs=0
users request | id=5daf7fda-85ca-46be-9484-7bef05f290d8 | GET /users/1 | status=200 | durationMs=1
users request | id=f0ae7384-b931-441c-b1a2-7e9dcb0ad9ad | GET /users/1 | status=200 | durationMs=0
users request | id=bd56895b-0e15-4d3a-b44a-2776b46a5921 | GET /users/1 | status=200 | durationMs=0
users request | id=905c9dd9-5165-4363-bfb9-59353200fa10 | GET /users/1 | status=200 | durationMs=0
users request | id=f593e0fc-6389-45da-83b8-35253e1cb900 | GET /users/1 | status=200 | durationMs=0
users request | id=7ea8c1b3-696e-4b46-89ac-1305fda5fda7 | GET /users/1 | status=200 | durationMs=1
users request | id=52e3b173-6337-4724-830d-93b852c8635b | GET /users/1 | status=200 | durationMs=1
users request | id=44a7cdb7-69f7-422d-b565-94519a93ba60 | GET /users/1 | status=200 | durationMs=1
users request | id=f23fdec5-ea5b-4029-a412-49494fbb5d9e | GET /users/1 | status=200 | durationMs=0
users request | id=877ee9e1-2a6f-4ce3-9532-dfec70b60bf9 | GET /users/1 | status=200 | durationMs=0
users request | id=0729aed4-e88c-4dbd-b68a-136e264f2ddc | GET /users/1 | status=200 | durationMs=0
users request | id=7088335b-5ecb-419f-9e47-16e418970c5e | GET /users/1 | status=200 | durationMs=1
users request | id=c6291df6-5f55-4b59-bd2b-f6a53e29538b | GET /users/1 | status=200 | durationMs=0
users request | id=95269462-4646-4fab-961d-18cb7bb77fe1 | GET /users/1 | status=200 | durationMs=1
users request | id=5f1f9d91-cd4f-47d9-81e1-b899be5c9e7d | GET /users/1 | status=200 | durationMs=0
users request | id=73f465af-0cda-4ac3-8a6f-ee95fa07b0ab | GET /users/1 | status=200 | durationMs=1
users request | id=84daccbd-27d6-4118-b46e-c55f76ee1309 | GET /users/1 | status=200 | durationMs=0
users request | id=e52aa8ba-9a05-4e0b-a473-c6450b8e022f | GET /users/1 | status=200 | durationMs=0
users request | id=f51ff024-a4ff-47e8-aaf2-f1446b460b60 | GET /users/1 | status=200 | durationMs=1
users request | id=f0a3a74c-377c-49bf-8aab-35f7f9d81561 | GET /users/1 | status=200 | durationMs=1
users request | id=f0e05b73-8fb4-4e11-bdd0-5282fd3414c5 | GET /users/1 | status=200 | durationMs=1
users request | id=0a295217-be19-43a3-90f2-7a02678e6fcf | GET /users/1 | status=200 | durationMs=0
users request | id=74892553-6a35-4220-966d-3bf8f08b1ac5 | GET /users/1 | status=200 | durationMs=0
users request | id=365c737a-c838-4296-8dba-2e029ed0b139 | GET /users/1 | status=200 | durationMs=0
users request | id=a017198d-c6d4-400b-898e-9d02b1378423 | GET /users/1 | status=200 | durationMs=0
users request | id=ee2c45bd-4b50-4a2a-a564-8cab8c86bede | GET /users/1 | status=200 | durationMs=1
users request | id=241578aa-1e99-4722-9d14-b36328a914ba | GET /users/1 | status=200 | durationMs=1
users request | id=54fa216a-a9d3-4c63-ad52-f6a1fd2c9742 | GET /users/1 | status=200 | durationMs=0
users request | id=b1c3ec3e-fb6b-43a5-8736-44a88bdf26fc | GET /users/1 | status=200 | durationMs=0
users request | id=6ba6a8dc-8202-4831-94e1-9636e09fbee0 | GET /users/1 | status=200 | durationMs=0
users request | id=93c95441-4933-4a2e-9a3d-fb973f1cf7ee | GET /users/1 | status=200 | durationMs=0
users request | id=f4e1c38f-2c1e-454b-82f0-ed8a63d68e6b | GET /users/1 | status=200 | durationMs=1
users request | id=76fcac12-c53c-46c0-b3e5-d5cced63d7b8 | GET /users/1 | status=200 | durationMs=0
users request | id=fad425ad-fc55-4ce2-afb9-d26198c9ba0e | GET /users/1 | status=200 | durationMs=1
users request | id=eae96a2f-ceae-4dac-bcf2-0bb41a8b4dd3 | GET /users/1 | status=200 | durationMs=1
users request | id=eaa4b2ca-6481-4261-93ba-76a98625bed6 | GET /users/1 | status=200 | durationMs=0
users request | id=df8f893b-53dd-4ea8-8b24-175581ceaf7c | GET /users/1 | status=200 | durationMs=0
users request | id=2fdaa0d8-e75e-45cd-94ae-34defaaf0dde | GET /users/1 | status=200 | durationMs=1
users request | id=120539b1-f2e6-464f-bd69-026c32bddaf6 | GET /users/1 | status=200 | durationMs=0
users request | id=b12e2d9a-d049-4ebe-ba12-02ca794d33db | GET /users/1 | status=200 | durationMs=1
users request | id=f5dfd0dc-9b12-43e2-877e-9863fd9a919a | GET /users/1 | status=200 | durationMs=0
users request | id=21be0834-1f1a-4421-a1b8-04029feb629c | GET /users/1 | status=200 | durationMs=0
users request | id=3d4d0462-7814-418d-a7f3-0fad944f63b4 | GET /users/1 | status=200 | durationMs=0
users request | id=1e450be9-ae3d-49e3-a775-e03f08896934 | GET /users/1 | status=200 | durationMs=0
users request | id=f7916c09-831b-4953-a777-d95d45b73226 | GET /users/1 | status=200 | durationMs=0
users request | id=28409b8d-e713-46c1-9ab7-fe004950f078 | GET /users/1 | status=200 | durationMs=1
